nom	fonction_c	taille	appels
AreaActivatePopulationTrigger	005b5f30	30	FUN_0049ee10@0049ee10 FUN_005d8200@005d8200
AreaAddAmbientSpawner	005b6250	159	FUN_004a15b0@004a15b0 FUN_004a1910@004a1910 FUN_004a2090@004a2090 FUN_005d8240@005d8240 FUN_005db7e0@005db7e0 thunk_FUN_0073b520@005d8440
AreaAddAmbientSpawnPeriod	005b62f0	100	FUN_004a1680@004a1680 FUN_004a1930@004a1930 FUN_005d8240@005d8240 FUN_005d8580@005d8580
AreaAddDocker	005b66c0	77	FUN_0046e830@0046e830 FUN_005d8240@005d8240 FUN_005db7e0@005db7e0 thunk_FUN_0073b520@005d8440
AreaAddDockLocation	005b6710	68	FUN_0046e890@0046e890 FUN_0046e9d0@0046e9d0 FUN_005d8200@005d8200 FUN_005d8580@005d8580
AreaAddDockPeriod	005b6760	100	FUN_0046e130@0046e130 FUN_0046e890@0046e890 FUN_005d8240@005d8240 FUN_005d8580@005d8580
AreaAddExtraScene	005b71b0	324	FUN_00429790@00429790 FUN_00429840@00429840 FUN_00439ba0@00439ba0 FUN_004467b0@004467b0 FUN_0056fcb0@0056fcb0 FUN_005d8200@005d8200 FUN_005d82a0@005d82a0 FUN_005d8f20@005d8f20
AreaAddMissionSpawner	005b7d70	244	FUN_004a1370@004a1370 FUN_004a18e0@004a18e0 FUN_004a1fa0@004a1fa0 FUN_005d8200@005d8200 FUN_005d8240@005d8240 FUN_005db7e0@005db7e0 thunk_FUN_0073b520@005d8440
AreaAddPedModelIdToSpawnLocation	005b6400	74	FUN_004a10b0@004a10b0 FUN_004a18b0@004a18b0 FUN_005d8200@005d8200 FUN_005d8580@005d8580
AreaAddPedTypeToSpawnLocation	005b6450	74	FUN_004a10c0@004a10c0 FUN_004a18b0@004a18b0 FUN_005d8200@005d8200 FUN_005d8580@005d8580
AreaAddSpawnLocation	005b63a0	83	FUN_004a1970@004a1970 FUN_005d8200@005d8200 FUN_005d8580@005d8580 thunk_FUN_0073b520@005d8440
AreaCancelStoredTransition	005b6e90	13	FUN_00415c30@00415c30
AreaClearAllExplosions	005b70f0	8	FUN_004d2530@004d2530
AreaClearAllPeds	005b7e70	92	FUN_00424490@00424490
AreaClearAllProjectiles	005b7100	48	FUN_004d48a0@004d48a0 FUN_004d4940@004d4940 FUN_005d8200@005d8200 FUN_0073ad50@0073ad50
AreaClearAllVehicles	005b7ed0	144	FUN_004cb6a0@004cb6a0 FUN_004ce410@004ce410 thunk_FUN_004ce7b0@004ce910
AreaClearDockers	005b6690	37	FUN_0046ea70@0046ea70 FUN_0046eae0@0046eae0 FUN_005db7e0@005db7e0
AreaClearPatrolPaths	005b60d0	37	FUN_00472880@00472880 FUN_004729a0@004729a0 FUN_005db7e0@005db7e0
AreaClearSpawners	005b6220	37	FUN_004a1830@004a1830 FUN_004a1ab0@004a1ab0 FUN_005db7e0@005db7e0
AreaDeactivatePopulationTrigger	005b5f50	30	FUN_0049ee50@0049ee50 FUN_005d8200@005d8200
AreaDeteriorateAttitudeForPopTriggerPedType	005b5f70	45	FUN_0049ee90@0049ee90 FUN_005d8200@005d8200
AreaDisableAllPatrolPaths	005b61d0	14	FUN_00472710@00472710
AreaDisableCameraControlForTransition	005b6f70	23	FUN_005d8f20@005d8f20
AreaDisablePatrolPath	005b6050	77	FUN_00472250@00472250 FUN_005d8200@005d8200 FUN_005d8450@005d8450 FUN_005ed240@005ed240
AreaDoorTransitionFix	005b6e20	13	FUN_00415140@00415140
AreaEnableAllPatrolPaths	005b61e0	14	FUN_004721a0@004721a0
AreaEnablePatrolPath	005b60a0	46	FUN_00471f80@00471f80 FUN_005d8200@005d8200 FUN_005ed240@005ed240
AreaEnsureSpecialEntitiesAreCreated	005b6dc0	13	FUN_006ae8b0@006ae8b0
AreaEnsureSpecialEntitiesAreCreatedWithOverride	005b6dd0	67	FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_006ae590@006ae590 FUN_006ae8b0@006ae8b0
AreaForceLoadAreaByAreaTransition	005b6f90	23	FUN_005d8f20@005d8f20
AreaGetPlayerPositionBeforeStore	005b74c0	97	FUN_005d8460@005d8460 FUN_005d8480@005d8480
AreaGetPopulationCullDistance	005b6d30	34	FUN_005d8480@005d8480
AreaGetPopulationEvaluatesTriggersIn3D	005b6e30	41	FUN_005d8450@005d8450
AreaGetScriptedPOIPointToActivate	005b6980	100	FUN_00448ff0@00448ff0 FUN_005d8180@005d8180 FUN_005d81c0@005d81c0 FUN_005d8200@005d8200 FUN_005d8460@005d8460 FUN_0073ad50@0073ad50
AreaGetTransitionTime	005b70a0	76	FUN_005d8200@005d8200 FUN_005d8460@005d8460 FUN_0085c6f0@0085c6f0
AreaGetVisible	005b7300	25	FUN_005d8460@005d8460
AreaInitPatrolPath	005b6150	122	FUN_00471fd0@00471fd0 FUN_005d8200@005d8200 FUN_005d8fa0@005d8fa0 FUN_005ed240@005ed240
AreaIsCollisionLoaded	005b7450	102	FUN_00570070@00570070 FUN_005d8200@005d8200 FUN_005d8450@005d8450
AreaIsDoorLocked	005b7640	282	FUN_004e9850@004e9850 FUN_00576d80@00576d80 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005d8560@005d8560 FUN_005d8580@005d8580 FUN_006d6400@006d6400 FUN_006d7870@006d7870 FUN_006d78c0@006d78c0
AreaIsDoorLockedToPeds	005b7880	282	FUN_004e9920@004e9920 FUN_00576d80@00576d80 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005d8560@005d8560 FUN_005d8580@005d8580 FUN_006d6450@006d6450 FUN_006d7870@006d7870 FUN_006d78c0@006d78c0
AreaIsDoorOpen	005b7ac0	282	FUN_004e99f0@004e99f0 FUN_00576d80@00576d80 FUN_005d81e0@005d81e0 FUN_005d8200@005d8200 FUN_005d82e0@005d82e0 FUN_005d8450@005d8450 FUN_005d8560@005d8560 FUN_005d8580@005d8580 FUN_006d64d0@006d64d0 FUN_006d7870@006d7870 FUN_006d78c0@006d78c0
AreaIsLoading	005b6f50	30	FUN_00415230@00415230 FUN_005d8450@005d8450
AreaLoad	005b5f00	36	FUN_005d8200@005d8200
AreaLoadCollision	005b7130	118	FUN_0056ff30@0056ff30 FUN_005d8200@005d8200 thunk_FUN_00439220@00439620
AreaLoadSpecialEntities	005b6d70	65	FUN_00576d80@00576d80 FUN_005d82e0@005d82e0 FUN_005d8f20@005d8f20 FUN_006ae5d0@006ae5d0 FUN_006ae600@006ae600
AreaMissionSpawnerExhausted	005b64c0	79	FUN_004a18b0@004a18b0 FUN_004a23a0@004a23a0 FUN_005d8450@005d8450 FUN_005d8580@005d8580
AreaMissionSpawnerSetActivated	005b6600	64	FUN_004a18b0@004a18b0 FUN_005d8580@005d8580 FUN_005d8f20@005d8f20
AreaMissionSpawnerSetAttackTarget	005b6550	104	FUN_004a1010@004a1010 FUN_004a18b0@004a18b0 FUN_005c7220@005c7220 FUN_005d8200@005d8200 FUN_005d8580@005d8580 FUN_005d8fa0@005d8fa0
AreaMissionSpawnerSetCallback	005b65c0	49	FUN_004a18b0@004a18b0 FUN_005d8580@005d8580 FUN_005d9e70@005d9e70
AreaMissionSpawnerSetExhausted	005b6510	51	FUN_004a18b0@004a18b0 FUN_004a2060@004a2060 FUN_005d8580@005d8580
AreaOverridePopulation	005b5fa0	80	FUN_0049c460@0049c460 FUN_005d8200@005d8200 FUN_005d8240@005d8240
AreaOverridePopulationPedType	005b7320	165	FUN_004467b0@004467b0 FUN_0049c460@0049c460 FUN_0049edb0@0049edb0 FUN_005d8200@005d8200
