adresse	nom_propose	source
00414f10	AreaRegisterAreaScript	liaison Lua unique
00415140	AreaDoorTransitionFix	liaison Lua unique
00415230	AreaIsLoading	liaison Lua unique
00415c30	AreaCancelStoredTransition	liaison Lua unique
00415fb0	PlayerSetPosXYZ	liaison Lua unique
0041a6d0	VehicleOverrideAmbient	liaison Lua unique
0041a710	VehicleRevertToDefaultAmbient	liaison Lua unique
00424490	AreaClearAllPeds	liaison Lua unique
004297f0	AreaRemoveExtraScene	liaison Lua unique
004313e0	MissionOverrideArrestPoint	liaison Lua unique
00431420	MissionOverrideKOPoint	liaison Lua unique
00431460	MissionResetRespawnOverrides	liaison Lua unique
00438700	AreaRegisterAnimProps	liaison Lua unique
0043ac00	CameraFadeToSplashEnd	liaison Lua unique
0043bd90	CameraFadeToSplashSetup	liaison Lua unique
0043f560	MissionTimerPause	liaison Lua unique
00441f40	AreaSetNodesSwitchedOffInTrigger	liaison Lua unique
004469f0	PlayerRefreshPhysicalState	liaison Lua unique
00447480	PedClearPOI	liaison Lua unique
0044e090	AreaSetPunishmentAlertLevels	liaison Lua unique
0044e0b0	AreaSetPunishmentPedType	liaison Lua unique
0044e0c0	AreaResetPunishmentAlertLevels	liaison Lua unique
0044e0e0	AreaResetPunishmentPedTypes	liaison Lua unique
0044e1c0	PlayerScalePunishmentPoints	liaison Lua unique
004543f0	PedSetSeasonalModels	liaison Lua unique
0045bdd0	PlayerHasUnlockedUpgrade	liaison Lua unique
0045c020	PlayerUnlockUpgrade	liaison Lua unique
0045c860	PedDeleteWeaponInventorySnapshot	liaison Lua unique
0045ca90	PedSaveWeaponInventorySnapshot	liaison Lua unique
0045d0b0	PedRestoreWeaponInventorySnapshot	liaison Lua unique
00467310	PedIsOnScreen	liaison Lua unique
0046e830	AreaAddDocker	liaison Lua unique
0046f350	PedResetTypeAttitudesToDefault	liaison Lua unique
0046f6e0	PedGetTypeToTypeAttitude	liaison Lua unique
0046f760	PedSetTypeToTypeAttitude	liaison Lua unique
0046f7a0	PedSetDefaultTypeToTypeAttitude	liaison Lua unique
00470170	PedRemoveCurrentObjective	liaison Lua unique
00471cb0	AreaPatrolPathShowVisionCones	liaison Lua unique
004721a0	AreaEnableAllPatrolPaths	liaison Lua unique
00472710	AreaDisableAllPatrolPaths	liaison Lua unique
00473080	PedSetPedToTypeAttitude	liaison Lua unique
004730a0	PedResetAttitudes	liaison Lua unique
00473100	PedClearPOIForAllPeds	liaison Lua unique
00473150	PedSetAlpha	liaison Lua unique
00473f90	PedSetTaskNode	liaison Lua unique
004741f0	PedSetSpecialRate	liaison Lua unique
00474200	PedSetSpecial	liaison Lua unique
00474360	PedSetGrappleTarget	liaison Lua unique
00474a90	PedGetLastHitWeapon	liaison Lua unique
